Time,Vultures,Jackals,Hyenas,Lions,Carrion 2,Log10Carrion2,JackalRemovalRate2,HyenaRemovalRate2,LionRemovalRate2,DecayRate2
278.25,0.084875455,0.543805058,0.196164498,0.050839641,1.490118651,0.173220851,1.114875797,0.836165871,0.205187296,0.104308306
280.9,0.084828067,0.544018913,0.196217028,0.050838653,1.488714993,0.172811562,1.114952647,0.836307099,0.205052394,0.104210049
283.55,0.084780705,0.544224535,0.196269487,0.050837632,1.487350556,0.17241334,1.115022021,0.836450158,0.204920947,0.104114539
286.2,0.08473337,0.544422208,0.196321875,0.050836579,1.486023897,0.172025793,1.115084194,0.836594977,0.20479283,0.104021673
288.85,0.084686061,0.544612209,0.196374194,0.050835495,1.484733628,0.171648545,1.11513943,0.836741488,0.204667925,0.103931354
291.5,0.084638779,0.544794804,0.196426443,0.050834382,1.483478415,0.171281232,1.115187983,0.836889626,0.204546116,0.103843489
294.15,0.084591523,0.544970251,0.196478623,0.050833241,1.482256972,0.170923502,1.1152301,0.837039326,0.204427293,0.103757988
296.8,0.084544293,0.545138799,0.196530735,0.050832072,1.481068063,0.170575017,1.115266017,0.837190527,0.204311349,0.103674764
299.45,0.08449709,0.545300689,0.196582778,0.050830877,1.479910499,0.170235451,1.115295962,0.83734317,0.204198181,0.103593735
302.1,0.084449913,0.545456154,0.196634753,0.050829655,1.478783137,0.16990449,1.115320155,0.837497197,0.20408769,0.10351482
304.75,0.084402762,0.545605419,0.196686662,0.050828409,1.477684875,0.169581828,1.115338809,0.837652552,0.20397978,0.103437941
307.4,0.084355638,0.5457487,0.196738503,0.05082714,1.476614653,0.169267174,1.115352129,0.837809182,0.203874359,0.103363026
310.05,0.08430854,0.545886208,0.196790278,0.050825847,1.475571452,0.168960244,1.115360311,0.837967035,0.203771339,0.103290002
312.7,0.084261468,0.546018146,0.196841986,0.050824532,1.474554291,0.168660767,1.115363546,0.83812606,0.203670634,0.1032188
315.35,0.084214422,0.546144709,0.196893629,0.050823195,1.473562226,0.16836848,1.115362018,0.838286209,0.203572162,0.103149356
318,0.084167403,0.546266087,0.196945206,0.050821837,1.472594347,0.168083129,1.115355903,0.838447435,0.203475842,0.103081604
320.65,0.08412041,0.546382462,0.196996718,0.05082046,1.471649779,0.16780447,1.115345372,0.838609694,0.203381599,0.103015485
323.3,0.084073444,0.546494011,0.197048165,0.050819063,1.470727681,0.167532266,1.115330589,0.83877294,0.203289359,0.102950938
325.95,0.084026503,0.546600905,0.197099547,0.050817647,1.469827241,0.167266292,1.115311713,0.838937132,0.20319905,0.102887907
328.6,0.083979589,0.546703308,0.197150865,0.050816214,1.46894768,0.167006328,1.115288896,0.839102228,0.203110604,0.102826338
331.25,0.083932701,0.546801378,0.19720212,0.050814762,1.468088246,0.166752162,1.115262286,0.839268191,0.203023955,0.102766177
333.9,0.083885839,0.54689527,0.19725331,0.050813294,1.467248215,0.16650359,1.115232025,0.83943498,0.20293904,0.102707375
336.55,0.083839003,0.546985132,0.197304437,0.05081181,1.466426892,0.166260416,1.115198249,0.839602561,0.202855796,0.102649882
339.2,0.083792194,0.547071106,0.197355501,0.05081031,1.465623607,0.166022451,1.115161091,0.839770896,0.202774165,0.102593652
341.85,0.08374541,0.547153331,0.197406502,0.050808795,1.464837712,0.165789512,1.115120679,0.839939952,0.20269409,0.10253864
344.5,0.083698653,0.547231939,0.19745744,0.050807265,1.464068588,0.165561423,1.115077133,0.840109696,0.202615516,0.102484801
347.15,0.083651922,0.54730706,0.197508316,0.05080572,1.463315636,0.165338013,1.115030574,0.840280096,0.20253839,0.102432095
349.8,0.083605217,0.547378818,0.19755913,0.050804163,1.462578279,0.165119119,1.114981115,0.84045112,0.202462661,0.10238048
352.45,0.083558538,0.547447332,0.197609881,0.050802591,1.461855963,0.164904584,1.114928865,0.84062274,0.20238828,0.102329917
355.1,0.083511885,0.547512719,0.197660571,0.050801007,1.461148153,0.164694253,1.114873931,0.840794925,0.202315199,0.102280371
357.75,0.083465258,0.547575089,0.197711199,0.050799411,1.460454335,0.164487982,1.114816415,0.840967649,0.202243373,0.102231803
360.4,0.083418657,0.547634551,0.197761766,0.050797803,1.459774013,0.164285628,1.114756416,0.841140885,0.202172758,0.102184181
363.05,0.083372082,0.547691209,0.197812272,0.050796183,1.459106711,0.164087055,1.114694027,0.841314607,0.202103311,0.10213747
365.7,0.083325533,0.547745162,0.197862717,0.050794552,1.458451967,0.163892131,1.114629342,0.841488789,0.202034991,0.102091638
368.35,0.083279011,0.547796508,0.197913101,0.05079291,1.457809341,0.163700729,1.114562447,0.841663408,0.20196776,0.102046654
371,0.083232514,0.54784534,0.197963425,0.050791258,1.457178405,0.163512726,1.114493428,0.84183844,0.201901579,0.102002488
373.65,0.083186043,0.547891748,0.198013688,0.050789596,1.456558749,0.163328006,1.114422367,0.842013864,0.201836411,0.101959112
376.3,0.083139598,0.54793582,0.198063891,0.050787924,1.455949977,0.163146454,1.114349344,0.842189656,0.201772222,0.101916498
378.95,0.083093179,0.547977638,0.198114033,0.050786242,1.455351709,0.16296796,1.114274433,0.842365797,0.201708976,0.10187462
381.6,0.083046785,0.548017285,0.198164116,0.050784552,1.454763578,0.162792419,1.114197709,0.842542267,0.201646643,0.10183345
384.25,0.083000418,0.548054837,0.19821414,0.050782852,1.45418523,0.162619729,1.114119242,0.842719045,0.201585189,0.101792966
386.9,0.082954077,0.548090371,0.198264103,0.050781144,1.453616324,0.162449792,1.1140391,0.842896113,0.201524585,0.101753143
389.55,0.082907761,0.548123959,0.198314007,0.050779428,1.453056534,0.162282512,1.11395735,0.843073453,0.201464801,0.101713957
392.2,0.082861472,0.548155671,0.198363852,0.050777704,1.452505542,0.162117798,1.113874055,0.843251047,0.20140581,0.101675388
394.85,0.082815208,0.548185575,0.198413638,0.050775972,1.451963046,0.161955563,1.113789275,0.843428879,0.201347583,0.101637413
397.5,0.08276897,0.548213735,0.198463364,0.050774233,1.45142875,0.161795721,1.11370307,0.843606933,0.201290094,0.101600013
400.15,0.082722758,0.548240216,0.198513032,0.050772487,1.450902374,0.161638191,1.113615496,0.843785192,0.201233319,0.101563166
402.8,0.082676572,0.548265078,0.198562641,0.050770734,1.450383645,0.161482894,1.113526608,0.843963641,0.201177233,0.101526855
405.45,0.082630411,0.548288379,0.198612191,0.050768973,1.449872301,0.161329753,1.11343646,0.844142266,0.201121812,0.101491061
408.1,0.082584276,0.548310175,0.198661683,0.050767207,1.44936809,0.161178695,1.113345101,0.844321053,0.201067033,0.101455766
410.75,0.082538167,0.548330521,0.198711116,0.050765434,1.448870768,0.16102965,1.11325258,0.844499989,0.201012876,0.101420954
413.4,0.082492084,0.548349471,0.198760491,0.050763655,1.448380101,0.160882549,1.113158946,0.844679059,0.200959319,0.101386607
416.05,0.082446027,0.548367073,0.198809808,0.05076187,1.447895862,0.160737327,1.113064243,0.844858252,0.200906341,0.10135271
418.7,0.082399995,0.548383378,0.198859067,0.05076008,1.447417836,0.16059392,1.112968515,0.845037555,0.200853923,0.101319249
421.35,0.082353989,0.548398432,0.198908268,0.050758284,1.446945811,0.160452267,1.112871806,0.845216957,0.200802047,0.101286207
424,0.082308008,0.548412281,0.198957411,0.050756482,1.446479587,0.160312309,1.112774154,0.845396445,0.200750693,0.101253571
426.65,0.082262053,0.548424969,0.199006496,0.050754676,1.446018968,0.16017399,1.112675601,0.845576011,0.200699846,0.101221328
429.3,0.082216124,0.548436538,0.199055523,0.050752864,1.445563766,0.160037254,1.112576183,0.845755642,0.200649487,0.101189464
431.95,0.082170221,0.548447028,0.199104493,0.050751048,1.445113802,0.159902049,1.112475937,0.845935328,0.200599601,0.101157966
434.6,0.082124343,0.548456479,0.199153406,0.050749227,1.444668901,0.159768324,1.112374898,0.846115061,0.200550171,0.101126823
437.25,0.082078491,0.54846493,0.199202261,0.050747402,1.444228896,0.15963603,1.112273101,0.846294829,0.200501183,0.101096023
439.9,0.082032664,0.548472416,0.199251059,0.050745572,1.443793625,0.15950512,1.112170578,0.846474625,0.200452623,0.101065554
442.55,0.081986863,0.548478972,0.1992998,0.050743738,1.443362931,0.159375547,1.11206736,0.84665444,0.200404476,0.101035405
445.2,0.081941088,0.548484634,0.199348483,0.0507419,1.442936666,0.159247269,1.111963478,0.846834264,0.200356729,0.101005567
447.85,0.081895338,0.548489433,0.19939711,0.050740058,1.442514684,0.159120243,1.111858961,0.847014091,0.200309368,0.100976028
450.5,0.081849613,0.548493402,0.19944568,0.050738212,1.442096846,0.158994427,1.111753838,0.847193911,0.200262382,0.100946779
